asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19430	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
ASV_19431	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	NA
ASV_19432	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA	NA
ASV_19433	Bacteria	Spirochaetota	V2072-189E03	NA	NA	NA	NA
ASV_19434	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	NA	NA
ASV_19435	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_19436	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA
ASV_19437	Bacteria	Patescibacteria	WWE3	NA	NA	NA	NA
ASV_19438	Bacteria	Proteobacteria	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae	Thiovirga	NA
ASV_19439	Bacteria	Myxococcota	Polyangia	Blfdi19	NA	NA	NA
ASV_19440	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_19441	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
ASV_19442	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV_19443	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA
ASV_19444	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes VC2.1 Bac22	NA	NA	NA
ASV_19445	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	NA	NA
ASV_19446	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA	NA
ASV_19447	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA
ASV_19448	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus Latescibacter	NA
ASV_19449	Bacteria	Sva0485	NA	NA	NA	NA	NA
ASV_19450	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19451	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	NA	NA	NA
ASV_19452	Bacteria	FCPU426	NA	NA	NA	NA	NA
ASV_19453	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV_19454	Bacteria	Elusimicrobiota	Lineage IIc	NA	NA	NA	NA
ASV_19455	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV_19456	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	NA
ASV_19457	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA
ASV_19458	Bacteria	Patescibacteria	Berkelbacteria	NA	NA	NA	NA
ASV_19459	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA
ASV_19460	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV_19461	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
ASV_19462	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	NA	NA
ASV_19463	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_19464	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_19465	Bacteria	TA06	NA	NA	NA	NA	NA
ASV_19466	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_19467	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA	NA
ASV_19468	Bacteria	LCP-89	NA	NA	NA	NA	NA
ASV_19469	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_19470	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	NA	NA	NA
ASV_19471	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV_19472	Bacteria	Patescibacteria	Berkelbacteria	NA	NA	NA	NA
ASV_19473	Bacteria	Myxococcota	NA	NA	NA	NA	NA
ASV_19474	Bacteria	Patescibacteria	ABY1	Candidatus Kuenenbacteria	NA	NA	NA
ASV_19475	Bacteria	Myxococcota	Polyangia	NA	NA	NA	NA
ASV_19476	Bacteria	Chloroflexi	Ktedonobacteria	MVP-21	NA	NA	NA
ASV_19477	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	NA	NA
ASV_19478	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_19479	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_19480	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19481	Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	NA	NA	NA
ASV_19482	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_19483	Bacteria	Patescibacteria	ABY1	Candidatus Buchananbacteria	NA	NA	NA
ASV_19484	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57 soil group	NA	NA	NA
ASV_19485	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_19486	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin118	NA
ASV_19487	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19488	Bacteria	Planctomycetota	Phycisphaerae	Amsterdam-1B-07	NA	NA	NA
ASV_19489	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19490	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_19491	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_19492	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_19493	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfohalobiaceae	Desulfovermiculus	NA
ASV_19494	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	NA	NA	NA
ASV_19495	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	NA
ASV_19496	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA	NA
ASV_19497	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_19498	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	FukuN18 freshwater group	NA
ASV_19499	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_19500	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA
ASV_19501	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_19502	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	NA	NA	NA
ASV_19503	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA
ASV_19504	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	NA
ASV_19505	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_19506	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Cryptoprodotis	NA
ASV_19507	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter	NA
ASV_19508	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_19509	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19510	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV_19511	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19512	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19513	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA
ASV_19514	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA
ASV_19515	Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077536	NA	NA	NA
ASV_19516	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA
ASV_19517	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19518	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Cavicella	NA
