lake	month	origin	lake_origin	replicate	samples	month_full	Temperature_median	Salinity_median	Oxygen_median	pH_median	Chla_median	PROK_1_median	PROK_2_median	LARGE_CELLS_median	VLP_TOT_median	CELLS_TOT_median	TPN	TPC	TPC.TPN	Secchi	NH4	PO4	NO3_N02
CHA.B.W2.SED1	CHA	B	SED	CHA_SED	SED1	CHA-B-W2-SED1	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.W3.ADN1	CHA	B	WATER	CHA_WATER	W3	CHA-B-W3-ADN1	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CRJ1.B.W1.ADN1	CRJ1	B	WATER	CRJ1_WATER	W1	CRJ1-B-W1-ADN1	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ1.B.W2.ADN1	CRJ1	B	WATER	CRJ1_WATER	W2	CRJ1-B-W2-ADN1	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ1.B.W2.SED1	CRJ1	B	SED	CRJ1_SED	SED1	CRJ1-B-W2-SED1	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ1.B.W3.ADN1	CRJ1	B	WATER	CRJ1_WATER	W3	CRJ1-B-W3-ADN1	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT9	CRJ1	B	LEP	CRJ1_LEP	GUT9	CRJ-B-GAR-GUT9	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT10	CRJ1	B	PER	CRJ1_PER	GUT10	CRJ-B-PER-GUT10	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT1	CRJ1	B	PER	CRJ1_PER	GUT1	CRJ-B-PER-GUT1	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT2	CRJ1	B	PER	CRJ1_PER	GUT2	CRJ-B-PER-GUT2	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT10	CRJ1	B	LEP	CRJ1_LEP	GUT10	CRJ-B-GAR-GUT10	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT1	CRJ1	B	LEP	CRJ1_LEP	GUT1	CRJ-B-GAR-GUT1	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT2	CRJ1	B	LEP	CRJ1_LEP	GUT2	CRJ-B-GAR-GUT2	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT3	CRJ1	B	LEP	CRJ1_LEP	GUT3	CRJ-B-GAR-GUT3	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT4	CRJ1	B	LEP	CRJ1_LEP	GUT4	CRJ-B-GAR-GUT4	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT5	CRJ1	B	LEP	CRJ1_LEP	GUT5	CRJ-B-GAR-GUT5	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT6	CRJ1	B	LEP	CRJ1_LEP	GUT6	CRJ-B-GAR-GUT6	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT7	CRJ1	B	LEP	CRJ1_LEP	GUT7	CRJ-B-GAR-GUT7	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.GAR.GUT8	CRJ1	B	LEP	CRJ1_LEP	GUT8	CRJ-B-GAR-GUT8	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT3	CRJ1	B	PER	CRJ1_PER	GUT3	CRJ-B-PER-GUT3	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT4	CRJ1	B	PER	CRJ1_PER	GUT4	CRJ-B-PER-GUT4	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT5	CRJ1	B	PER	CRJ1_PER	GUT5	CRJ-B-PER-GUT5	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT6	CRJ1	B	PER	CRJ1_PER	GUT6	CRJ-B-PER-GUT6	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT7	CRJ1	B	PER	CRJ1_PER	GUT7	CRJ-B-PER-GUT7	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT8	CRJ1	B	PER	CRJ1_PER	GUT8	CRJ-B-PER-GUT8	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ.B.PER.GUT9	CRJ1	B	PER	CRJ1_PER	GUT9	CRJ-B-PER-GUT9	July	26.3	0	153	9.2	6.37	998857.142857143	849714.285714286	69428.5714285714	33572857.1428571	1875142.85714286	0.050818	0.3908456	7.6910858357275	2.1	0.62860832	0.292	48.975
CRJ2.B.W3.ADN1	CRJ2	B	WATER	CRJ2_WATER	W3	CRJ2-B-W3-ADN1	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
CRJ2.B.W1.ADN1	CRJ2	B	WATER	CRJ2_WATER	W1	CRJ2-B-W1-ADN1	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
CRJ2.B.W2.ADN1	CRJ2	B	WATER	CRJ2_WATER	W2	CRJ2-B-W2-ADN1	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
CRJ2.B.W2.SED1	CRJ2	B	SED	CRJ2_SED	SED1	CRJ2-B-W2-SED1	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT4	CRJ2	B	PER	CRJ2_PER	GUT4	TRI-B-PER-GUT4	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT5	CRJ2	B	PER	CRJ2_PER	GUT5	TRI-B-PER-GUT5	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT6	CRJ2	B	PER	CRJ2_PER	GUT6	TRI-B-PER-GUT6	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT7	CRJ2	B	PER	CRJ2_PER	GUT7	TRI-B-PER-GUT7	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT8	CRJ2	B	PER	CRJ2_PER	GUT8	TRI-B-PER-GUT8	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT9	CRJ2	B	PER	CRJ2_PER	GUT9	TRI-B-PER-GUT9	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
