"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_89","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Devosia"
"ASV_90","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_91","d__Bacteria","Elusimicrobiota","Elusimicrobia","Lineage_IV","Lineage_IV","Lineage_IV","uncultured_bacterium"
"ASV_92","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"ASV_93","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","uncultured_bacterium"
"ASV_94","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_archaeon"
"ASV_95","d__Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","uncultured","uncultured_bacterium"
"ASV_96","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_bacterium"
"ASV_97","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV_98","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_99","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_100","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_101","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_102","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_103","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_104","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium",NA
"ASV_105","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Caloramatoraceae","Clostridium","Clostridium_cylindrosporum"
"ASV_106","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas","Aurantisolimonas_haloimpatiens"
"ASV_107","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade",NA
"ASV_108","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","uncultured",NA
"ASV_109","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinibacter","uncultured_bacterium"
"ASV_110","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_111","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_112","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_113","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_114","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV_115","d__Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured_Bacillus"
"ASV_116","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","uncultured_bacterium"
"ASV_117","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","uncultured","uncultured_bacterium"
"ASV_118","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter",NA
"ASV_119","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"ASV_120","d__Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria","uncultured_bacterium"
"ASV_121","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_122","d__Bacteria",NA,NA,NA,NA,NA,NA
