sample;lake;month;origin;lake_origin;replicate;samples
CTL-B-W1-ADN1;CTL;B;WATER;CTL_WATER;W1;CTL-B-W1-ADN1
CTL-B-W2-ADN1;CTL;B;WATER;CTL_WATER;W2;CTL-B-W2-ADN1
CTL-B-W2-SED1;CTL;B;SED;CTL_SED;SED1;CTL-B-W2-SED1
CTL-B-W3-ADN1;CTL;B;WATER;CTL_WATER;W3;CTL-B-W3-ADN1
GDP-B-GAR-GUT10;GDP;B;LEP;GDP_LEP;GUT10;GDP-B-GAR-GUT10
GDP-B-GAR-GUT1;GDP;B;LEP;GDP_LEP;GUT1;GDP-B-GAR-GUT1
GDP-B-GAR-GUT2;GDP;B;LEP;GDP_LEP;GUT2;GDP-B-GAR-GUT2
GDP-B-GAR-GUT3;GDP;B;LEP;GDP_LEP;GUT3;GDP-B-GAR-GUT3
GDP-B-GAR-GUT4;GDP;B;LEP;GDP_LEP;GUT4;GDP-B-GAR-GUT4
GDP-B-GAR-GUT5;GDP;B;LEP;GDP_LEP;GUT5;GDP-B-GAR-GUT5
GDP-B-GAR-GUT6;GDP;B;LEP;GDP_LEP;GUT6;GDP-B-GAR-GUT6
GDP-B-GAR-GUT7;GDP;B;LEP;GDP_LEP;GUT7;GDP-B-GAR-GUT7
GDP-B-GAR-GUT8;GDP;B;LEP;GDP_LEP;GUT8;GDP-B-GAR-GUT8
GDP-B-GAR-GUT9;GDP;B;LEP;GDP_LEP;GUT9;GDP-B-GAR-GUT9
GDP-B-PER-GUT10;GDP;B;PER;GDP_PER;GUT10;GDP-B-PER-GUT10
GDP-B-PER-GUT1;GDP;B;PER;GDP_PER;GUT1;GDP-B-PER-GUT1
GDP-B-PER-GUT2;GDP;B;PER;GDP_PER;GUT2;GDP-B-PER-GUT2
GDP-B-PER-GUT3;GDP;B;PER;GDP_PER;GUT3;GDP-B-PER-GUT3
GDP-B-PER-GUT4;GDP;B;PER;GDP_PER;GUT4;GDP-B-PER-GUT4
GDP-B-PER-GUT5;GDP;B;PER;GDP_PER;GUT5;GDP-B-PER-GUT5
GDP-B-PER-GUT6;GDP;B;PER;GDP_PER;GUT6;GDP-B-PER-GUT6
GDP-B-PER-GUT7;GDP;B;PER;GDP_PER;GUT7;GDP-B-PER-GUT7
GDP-B-PER-GUT8;GDP;B;PER;GDP_PER;GUT8;GDP-B-PER-GUT8
GDP-B-PER-GUT9;GDP;B;PER;GDP_PER;GUT9;GDP-B-PER-GUT9
GDP-B-W1-ADN1;GDP;B;WATER;GDP_WATER;W1;GDP-B-W1-ADN1
GDP-B-W2-ADN1;GDP;B;WATER;GDP_WATER;W2;GDP-B-W2-ADN1
GDP-B-W2-SED1;GDP;B;SED;GDP_SED;SED1;GDP-B-W2-SED1
GDP-B-W3-ADN1;GDP;B;WATER;GDP_WATER;W3;GDP-B-W3-ADN1
JAB-B-GAR-GUT10;JAB;B;LEP;JAB_LEP;GUT10;JAB-B-GAR-GUT10
JAB-B-GAR-GUT1;JAB;B;LEP;JAB_LEP;GUT1;JAB-B-GAR-GUT1
JAB-B-GAR-GUT2;JAB;B;LEP;JAB_LEP;GUT2;JAB-B-GAR-GUT2
JAB-B-GAR-GUT3;JAB;B;LEP;JAB_LEP;GUT3;JAB-B-GAR-GUT3
JAB-B-GAR-GUT4;JAB;B;LEP;JAB_LEP;GUT4;JAB-B-GAR-GUT4
JAB-B-GAR-GUT5;JAB;B;LEP;JAB_LEP;GUT5;JAB-B-GAR-GUT5
JAB-B-GAR-GUT6;JAB;B;LEP;JAB_LEP;GUT6;JAB-B-GAR-GUT6
JAB-B-GAR-GUT7;JAB;B;LEP;JAB_LEP;GUT7;JAB-B-GAR-GUT7
JAB-B-GAR-GUT8;JAB;B;LEP;JAB_LEP;GUT8;JAB-B-GAR-GUT8
JAB-B-GAR-GUT9;JAB;B;LEP;JAB_LEP;GUT9;JAB-B-GAR-GUT9
JAB-B-PER-GUT1;JAB;B;PER;JAB_PER;GUT1;JAB-B-PER-GUT1
JAB-B-PER-GUT2;JAB;B;PER;JAB_PER;GUT2;JAB-B-PER-GUT2
JAB-B-PER-GUT3;JAB;B;PER;JAB_PER;GUT3;JAB-B-PER-GUT3
JAB-B-PER-GUT5;JAB;B;PER;JAB_PER;GUT5;JAB-B-PER-GUT5
JAB-B-W1-ADN1;JAB;B;WATER;JAB_WATER;W1;JAB-B-W1-ADN1
JAB-B-W2-ADN1;JAB;B;WATER;JAB_WATER;W2;JAB-B-W2-ADN1
JAB-B-W2-SED1;JAB;B;SED;JAB_SED;SED1;JAB-B-W2-SED1
JAB-B-W3-ADN1;JAB;B;WATER;JAB_WATER;W3;JAB-B-W3-ADN1
TRI-B-GAR-GUT10;CRJ2;B;LEP;CRJ2_LEP;GUT10;TRI-B-GAR-GUT10
TRI-B-GAR-GUT1;CRJ2;B;LEP;CRJ2_LEP;GUT1;TRI-B-GAR-GUT1
TRI-B-GAR-GUT2;CRJ2;B;LEP;CRJ2_LEP;GUT2;TRI-B-GAR-GUT2
TRI-B-GAR-GUT3;CRJ2;B;LEP;CRJ2_LEP;GUT3;TRI-B-GAR-GUT3
TRI-B-GAR-GUT4;CRJ2;B;LEP;CRJ2_LEP;GUT4;TRI-B-GAR-GUT4
TRI-B-GAR-GUT5;CRJ2;B;LEP;CRJ2_LEP;GUT5;TRI-B-GAR-GUT5
TRI-B-GAR-GUT6;CRJ2;B;LEP;CRJ2_LEP;GUT6;TRI-B-GAR-GUT6
TRI-B-GAR-GUT7;CRJ2;B;LEP;CRJ2_LEP;GUT7;TRI-B-GAR-GUT7
TRI-B-GAR-GUT8;CRJ2;B;LEP;CRJ2_LEP;GUT8;TRI-B-GAR-GUT8
TRI-B-GAR-GUT9;CRJ2;B;LEP;CRJ2_LEP;GUT9;TRI-B-GAR-GUT9
TRI-B-PER-GUT10;CRJ2;B;PER;CRJ2_PER;GUT10;TRI-B-PER-GUT10
TRI-B-PER-GUT1;CRJ2;B;PER;CRJ2_PER;GUT1;TRI-B-PER-GUT1
TRI-B-PER-GUT2;CRJ2;B;PER;CRJ2_PER;GUT2;TRI-B-PER-GUT2
TRI-B-PER-GUT3;CRJ2;B;PER;CRJ2_PER;GUT3;TRI-B-PER-GUT3
TRI-B-PER-GUT4;CRJ2;B;PER;CRJ2_PER;GUT4;TRI-B-PER-GUT4
